#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#wt_mn_flux: weighted mean flux at the center of the line (erg/s/cm^2)
#onesig_err_wt_mn_flux: 1 sigma uncertainty in weighted mean flux at the center of the line (erg/s/cm^2)
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means either the code was unable to fit the line OR the fit was below 3 sigma flux error at that point
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	significance	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u
rcs0327-B	CII2328	6296.2464	2328.838	EMISSION	-0.2075	0.3672	-7.91518890096e+17	8.8147576331e+16	1.29e-18	2.2828e-18	7.3092e-19	4.1088e-18	0.13607	1.0	0.2482	6296.2642	1.1925	0.9018	1.7036	0.0005
rcs0327-B	[OIII]2331	6302.362	2331.1	EMISSION	-1.4355	1.0632	3.94259973737e+16	2.96121140437e+17	8.9071e-18	6.5972e-18	7.3092e-19	4.1088e-18	1.9899	1.0	0.5785	6302.8515	1.0732	2.6764	1.7038	0.0005
rcs0327-B	SiII2335a	6313.2385	2335.123	EMISSION	-0.0	0.2393	-6.58023577829e+17	8.54075026812e+16	1.0969e-56	1.4799e-18	7.3092e-19	4.1088e-18	-0.17789	1.0	0.0	6313.1603	0.0	0.9042	1.7036	0.0
rcs0327-B	SiII2335b	6313.7739	2335.321	EMISSION	-0.0	0.2389	-6.58664792458e+17	8.50102886138e+16	1.5155e-68	1.4769e-18	7.3092e-19	4.1088e-18	-0.17789	1.0	0.0	6314.1688	0.0	0.9043	1.7038	0.0
rcs0327-B	OII2470mid	6680.6686	2471.027	EMISSION	-1.0291	0.4437	-1.35879878535e+18	1.04195504244e+17	5.446e-18	2.3478e-18	-6.9938e-19	7.3938e-19	8.3114	1.0	0.5719	6680.1497	0.6308	1.9409	1.7034	0.0003
rcs0327-E	CII1334	3606.4401	1334.5323	ISM	2.0108	0.1901	-2.47948189192e+15	9.5667561834e+15	-3.613e-17	3.4152e-18	-1.6705e-19	1.8808e-18	19.121	1.0	-1.4155	3607.117	0.1081	1.5315	1.7029	0.0001
rcs0327-E	CII1335b	3610.8314	1335.663	FINESTR	-0.0	0.316	-5.7406135808e+16	9.75865792636e+15	4.1213e-38	5.6862e-18	-1.6705e-19	1.8808e-18	0.08882	1.0	0.0	3611.3923	0.0	0.4662	1.7038	0.0
rcs0327-E	CII1335c	3610.953	1335.708	EMISSION	-0.0	0.3159	-7.15880663389e+16	1.04009162638e+16	8.6918e-37	5.684e-18	-1.6705e-19	1.8808e-18	0.08882	1.0	0.0	3611.514	0.0	0.4662	1.7038	0.0
rcs0327-E	NIV]1486	4018.6041	1486.5	EMISSION	-0.2505	0.1423	-1.5529215917e+17	7.56991186902e+15	4.367e-18	2.4804e-18	-3.96e-20	1.6211e-18	2.7183	1.0	0.1583	4019.2284	0.737	1.7065	1.7038	0.0005
rcs0327-E	SiII1533	4145.4779	1533.4312	FINESTR	-0.3554	0.0769	-2.02909165757e+17	6.56993524322e+15	6.1394e-18	1.3276e-18	-1.9542e-18	2.8827e-18	2.8077	1.0	0.5244	4145.3407	0.1195	0.7309	1.7033	0.0001
